cuisine_type,American,Chinese,French,Indian,Italian,Japanese,Korean,Mediterranean,Mexican,MiddleEastern,Southern,Spanish,Thai,Vietnamese,order_id,restaurant_name,day_of_the_week,weekend,cost_of_the_order,food_preparation_time,delivery_time,rating,rating_ge_5,rating_le_3
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477592,Shake Shack,Weekend,1,31.43,30,19,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477856,The Smile,Weekend,1,25.17,31,15,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478385,Blue Ribbon Fried Chicken,Weekend,1,21.34,28,21,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478052,Shake Shack,Weekend,1,24.3,35,16,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478215,Sarabeth's East,Weekend,1,25.27,23,19,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478285,Blue Ribbon Fried Chicken,Weekend,1,12.18,32,22,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478087,Bareburger,Weekend,1,8.39,27,30,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476775,Shake Shack,Weekday,0,29.1,29,31,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478421,Dig Inn Seasonal Market,Weekday,0,15.71,27,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476707,Shake Shack,Weekday,0,22.75,21,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477419,Shake Shack,Weekend,1,14.07,34,17,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477123,The Smile,Weekend,1,8.59,32,29,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478409,Melt Shop,Weekend,1,25.27,27,30,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478361,Shake Shack,Weekend,1,29.1,26,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478184,The Meatball Shop,Weekend,1,5.82,30,30,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476852,Five Guys Burgers and Fries,Weekday,0,19.45,28,28,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477077,Shake Shack,Weekend,1,12.18,27,23,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477981,Westville Hudson,Weekend,1,11.16,24,20,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477381,The Smile,Weekday,0,25.22,25,28,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476958,Blue Ribbon Fried Chicken,Weekend,1,12.18,26,29,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477300,The Meatball Shop,Weekend,1,31.43,20,21,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476666,Shake Shack,Weekday,0,6.07,23,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476745,Blue Ribbon Fried Chicken,Weekend,1,12.61,30,30,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478283,J. G. Melon,Weekday,0,8.25,34,33,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477178,Bareburger,Weekend,1,24.2,23,23,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476552,Melt Shop,Weekend,1,12.56,25,23,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477203,The Meatball Shop,Weekday,0,15.86,29,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478192,Shake Shack,Weekend,1,16.25,27,23,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477137,P.J. Clarke's,Weekday,0,14.07,33,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477440,Blue Ribbon Fried Chicken,Weekday,0,12.52,24,31,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476857,Blue Ribbon Fried Chicken,Weekday,0,12.23,33,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477248,Shake Shack,Weekday,0,12.95,20,30,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478325,Shake Shack,Weekday,0,29.1,29,24,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476843,Sarabeth's West,Weekday,0,14.12,21,33,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477094,Blue Ribbon Fried Chicken,Weekday,0,22.31,28,27,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477443,Shake Shack,Weekday,0,24.3,35,29,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476664,Blue Ribbon Fried Chicken,Weekday,0,24.3,20,27,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476585,S'MAC,Weekend,1,12.37,30,28,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478029,S'MAC,Weekday,0,15.47,31,32,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478432,Waverly Diner,Weekday,0,14.6,20,32,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477535,S'MAC,Weekend,1,15.57,34,28,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477107,Shake Shack,Weekend,1,7.08,25,23,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477941,Cafeteria,Weekend,1,15.52,28,30,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477690,Melt Shop,Weekend,1,21.93,30,18,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478136,Five Guys Burgers and Fries,Weekend,1,14.12,27,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477566,Shake Shack,Weekday,0,9.07,21,32,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476988,Moonstruck on Second,Weekend,1,14.94,27,20,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477791,Shake Shack,Weekend,1,7.23,29,18,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477256,Shake Shack,Weekday,0,12.18,23,31,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476618,Shake Shack,Weekday,0,12.13,30,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477775,Shake Shack,Weekend,1,29.25,25,19,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478145,Melt Shop,Weekday,0,11.69,21,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476623,Blue Ribbon Fried Chicken,Weekend,1,24.3,22,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477708,Bareburger,Weekend,1,6.07,23,15,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476812,Shake Shack,Weekday,0,9.02,23,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477476,Delicatessen,Weekend,1,32.93,30,18,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478062,Burger Joint,Weekend,1,15.72,31,30,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477711,J. G. Melon,Weekend,1,12.66,23,20,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477710,Shake Shack,Weekday,0,5.92,34,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477195,Cafeteria,Weekday,0,20.47,32,24,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478383,Shake Shack,Weekend,1,15.86,34,20,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478171,The Meatball Shop,Weekend,1,14.5,25,22,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476917,Big Daddy's,Weekend,1,14.84,32,22,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478013,Westville Hudson,Weekend,1,12.56,26,28,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477433,Dickson's Farmstand Meats,Weekend,1,12.18,21,20,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478146,Shake Shack,Weekend,1,12.27,24,28,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477409,Shake Shack,Weekday,0,9.07,35,26,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476888,Shake Shack,Weekday,0,12.13,25,30,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477579,Shake Shack,Weekday,0,24.35,34,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477403,The Meatball Shop,Weekend,1,6.69,27,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477069,Blue Ribbon Fried Chicken,Weekend,1,12.18,35,27,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477773,Shake Shack,Weekend,1,12.18,32,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477565,Blue Ribbon Fried Chicken,Weekday,0,12.56,27,27,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477234,Melt Shop,Weekend,1,9.6,30,16,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478398,Blue Ribbon Fried Chicken,Weekend,1,24.3,34,21,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477065,The Meatball Shop,Weekday,0,7.28,20,29,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477155,J. G. Melon,Weekday,0,6.06,24,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477950,Blue Ribbon Fried Chicken,Weekend,1,16.44,24,16,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477670,Shake Shack,Weekday,0,6.01,23,30,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478083,Lucky's Famous Burgers,Weekend,1,5.77,21,20,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478159,Shake Shack,Weekend,1,15.76,35,29,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477154,S'MAC,Weekday,0,5.92,34,30,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477193,P.J. Clarke's,Weekday,0,5.92,33,30,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477484,Blue Ribbon Fried Chicken,Weekend,1,6.79,28,27,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477035,Dickson's Farmstand Meats,Weekend,1,33.03,35,20,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477664,Blue Ribbon Fried Chicken,Weekend,1,29.3,28,16,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476758,Schnipper's Quality Kitchen,Weekend,1,14.02,20,16,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477428,Shake Shack,Weekend,1,8,24,30,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476756,Shake Shack,Weekend,1,14.07,21,27,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478195,Blue Ribbon Fried Chicken,Weekday,0,20.23,20,26,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477164,Shake Shack,Weekend,1,15.77,29,20,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477787,Shake Shack,Weekend,1,4.8,22,24,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478180,The Smile,Weekend,1,22.26,25,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477594,Bareburger,Weekday,0,12.18,25,24,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477262,Blue Ribbon Fried Chicken,Weekend,1,12.08,21,21,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477218,Shake Shack,Weekend,1,29.49,20,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476633,Shake Shack,Weekend,1,15.76,20,25,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477384,Shake Shack,Weekend,1,6.79,35,30,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477878,Westville Hudson,Weekend,1,21.88,20,15,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478035,Blue Ribbon Fried Chicken,Weekend,1,10.14,21,17,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477713,Blue Ribbon Fried Chicken,Weekend,1,8.44,31,18,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477115,Shake Shack,Weekday,0,24.25,20,27,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476658,P.J. Clarke's,Weekend,1,31.43,31,23,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477231,Shake Shack,Weekend,1,12.61,29,19,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477244,Bubby's ,Weekday,0,12.18,28,31,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478097,Westville Hudson,Weekend,1,12.18,20,25,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477183,Blue Ribbon Fried Chicken,Weekend,1,33.03,35,25,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477857,S'MAC,Weekend,1,25.27,20,29,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477481,Bareburger,Weekday,0,25.22,31,27,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476684,Shake Shack,Weekend,1,19.4,32,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477823,Bareburger,Weekend,1,5.63,32,30,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478405,Shake Shack,Weekday,0,11.59,23,25,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477972,Shake Shack,Weekend,1,12.61,26,25,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477452,Shake Shack,Weekend,1,8.34,21,30,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477694,Shake Shack,Weekend,1,24.3,25,15,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477514,The Meatball Shop,Weekend,1,12.18,23,22,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477497,Sarabeth's Restaurant,Weekend,1,12.27,24,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478200,Blue Ribbon Fried Chicken,Weekend,1,12.13,28,23,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476584,Shake Shack,Weekend,1,12.37,28,28,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477660,Sarabeth's Restaurant,Weekend,1,24.25,23,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477962,Big Daddy's,Weekend,1,12.08,22,16,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477172,Bareburger,Weekday,0,19.35,33,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477666,Blue Ribbon Fried Chicken,Weekend,1,11.64,24,16,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477559,P.J. Clarke's,Weekday,0,25.27,34,29,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478431,S'MAC,Weekend,1,16.49,27,19,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477305,The Meatball Shop,Weekend,1,24.2,21,30,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477073,Shake Shack,Weekend,1,29.05,21,22,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477755,Cafeteria,Weekend,1,12.08,35,28,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477444,Shake Shack,Weekday,0,24.3,33,30,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477018,Shake Shack,Weekend,1,15.52,33,17,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476901,Lucky's Famous Burgers,Weekend,1,11.59,26,23,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477223,J. G. Melon,Weekend,1,22.26,22,25,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477963,Blue Ribbon Fried Chicken,Weekend,1,12.23,27,27,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477085,J. G. Melon,Weekend,1,6.74,20,29,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477149,Rye House,Weekday,0,12.13,26,30,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477861,Shake Shack,Weekend,1,20.57,24,19,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478275,Five Guys Burgers and Fries,Weekend,1,24.3,28,18,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476854,Blue Ribbon Fried Chicken,Weekend,1,6.45,30,24,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476675,Shake Shack,Weekday,0,15.96,28,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477470,Shake Shack,Weekend,1,24.25,27,30,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476560,Shake Shack,Weekend,1,22.26,32,17,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478150,Shake Shack,Weekend,1,25.22,35,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478068,The Smile,Weekend,1,12.08,27,25,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478429,Shake Shack,Weekend,1,22.85,24,23,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478018,Shake Shack,Weekday,0,16.25,27,31,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477922,Westville Hudson,Weekend,1,33.03,25,18,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477693,Bareburger,Weekend,1,13.05,31,30,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477430,Five Leaves,Weekday,0,6.26,31,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477645,Blue Ribbon Fried Chicken,Weekend,1,8.98,26,27,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476771,P.J. Clarke's,Weekday,0,12.18,30,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478341,Shake Shack,Weekend,1,10.82,34,20,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477583,Melt Shop,Weekend,1,19.4,30,25,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477563,Shake Shack,Weekday,0,17.03,35,32,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477214,Five Guys Burgers and Fries,Weekday,0,13,30,27,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477529,The Smile,Weekend,1,5.82,22,25,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477141,Shake Shack,Weekend,1,24.3,21,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478204,Blue Ribbon Fried Chicken,Weekday,0,14.07,34,24,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478254,5 Napkin Burger,Weekend,1,25.22,27,21,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478036,Burger Joint,Weekend,1,8.35,28,17,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478368,Burger Joint,Weekday,0,12.13,31,33,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476977,Shake Shack,Weekend,1,25.17,27,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477145,Shake Shack,Weekday,0,29.3,33,32,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476859,Sarabeth's Restaurant,Weekend,1,12.23,26,24,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476678,Shake Shack,Weekend,1,21.39,28,18,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478444,Shake Shack,Weekend,1,31.43,22,24,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477106,J. G. Melon,Weekend,1,8.83,31,19,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476945,The Smile,Weekend,1,7.81,24,21,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477890,Shake Shack,Weekday,0,22.36,20,32,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477208,Bareburger,Weekend,1,12.13,32,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477008,Blue Ribbon Brooklyn,Weekday,0,5.97,32,24,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478317,Shake Shack,Weekday,0,19.74,35,32,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477672,J. G. Melon,Weekday,0,6.07,29,25,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477742,Blue Ribbon Fried Chicken,Weekend,1,6.84,24,26,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476720,Dirty Bird To Go (archived),Weekend,1,12.13,22,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478074,Blue Ribbon Fried Chicken,Weekend,1,29.05,30,29,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476766,Shake Shack,Weekend,1,19.35,21,29,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478115,Shake Shack,Weekend,1,5.77,28,18,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477902,Shake Shack,Weekend,1,15.77,35,23,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478280,Shake Shack,Weekend,1,19.4,32,15,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477754,P.J. Clarke's,Weekday,0,21.34,25,28,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477367,Blue Ribbon Fried Chicken,Weekend,1,12.95,27,28,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476627,Westville Hudson,Weekend,1,16.98,34,20,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477306,brgr,Weekday,0,5.72,24,26,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478284,Blue Ribbon Fried Chicken,Weekend,1,8.2,34,17,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477421,The Smile,Weekend,1,12.18,31,19,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477365,Shake Shack,Weekend,1,14.07,33,25,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477127,Shake Shack,Weekday,0,15.76,30,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478001,Blue Ribbon Fried Chicken,Weekend,1,31.38,35,20,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477597,Shake Shack,Weekend,1,24.25,34,24,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476976,Shake Shack,Weekday,0,22.26,33,32,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477568,Blue Ribbon Fried Chicken,Weekday,0,9.75,23,32,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478071,Five Guys Burgers and Fries,Weekend,1,14.12,28,25,4,0,0
